연번,ID,매매_18년_1분기,등락율18_1,전세가율18_1,전용면적,구별인구,거래량1,거래량18,거래허가제TF,아파트TF,주상복합TF,도시형주택TF,일반분양TF,복합분양TF,임대분양TF,사용승인년도,동당세대수,승강기합계,동수,세대수,관리원당세대수,승강기당세대수,세대당주차수,지하주차비율,세대당cctv수,관리인원수,연간소독횟수,관리위탁여부,개별난방TF,중앙난방TF,지역난방TF,복도식TF,혼합형TF,계단식TF,메이저시공사TF,조합시행TF,철근철골구조TF,홈네트워크TF,관리시설수
837,서울특별시 관악구 신림동 우방 60,36667, - ,75,60,522292,6,1,0,1,0,0,1,0,0,1999,67,21,3,201,28.71428571,9.571428571,1.104477612,0.855855856,0.089552239,7,12,1,1,0,0,0,1,0,0,0,0,1,4
838,서울특별시 관악구 신림동 우정하이비전 80,39375, - ,73.7,80,522292,4,0,0,1,0,0,1,0,0,2004,70,24,2,140,17.5,5.833333333,1.128571429,0.512658228,0.207142857,8,12,1,1,0,0,0,0,1,0,0,0,0,4
839,서울특별시 관악구 신림동 주공1 60,27300,15.8,76.9,60,522292,1,0,0,1,0,0,0,1,0,1995,137.1428571,55,7,960,50.52631579,17.45454545,0.369791667,0.447887324,0.064583333,19,3,1,0,1,0,1,0,0,0,0,0,0,4
840,서울특별시 관악구 신림동 초원 60,23500,-10.6,80.9,60,522292,1,2,0,1,0,0,0,1,0,1999,197,15,1,197,39.4,13.13333333,0.664974619,0.847328244,0.126903553,5,4,0,1,0,0,1,0,0,1,0,0,0,6
842,서울특별시 관악구 신림동 태흥 60,28250, - ,77.9,60,522292,0,0,0,1,0,0,1,0,0,1995,0,2,,127,0,63.5,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0
846,서울특별시 광진구 광장동 광나루현대 80,67717,4.6,74.2,80,371671,6,0,0,1,0,0,1,0,0,1996,126.6666667,49,3,380,22.35294118,7.755102041,0.931578947,0.675141243,0.210526316,17,12,1,1,0,0,0,0,1,1,0,0,0,4
847,서울특별시 광진구 광장동 광장11현대홈타운 80,125600, - ,70.9,80,371671,0,0,0,0,0,1,1,0,0,2003,19.875,45,8,159,15.9,3.533333333,1.144654088,0.978021978,0.465408805,10,12,1,1,0,0,0,0,1,1,1,0,0,4
848,서울특별시 광진구 광장동 광장현대9단지 60,76325,16.1,64.9,60,371671,4,2,0,1,0,0,1,0,0,1999,87.4,43,5,437,31.21428571,10.1627907,0.967963387,0.841607565,0.118993135,14,12,0,1,0,0,0,0,1,1,1,0,0,5
849,서울특별시 광진구 광장동 광장현대9단지 80,87150,11.6,73.8,80,371671,5,1,0,1,0,0,1,0,0,1999,87.4,43,5,437,31.21428571,10.1627907,0.967963387,0.841607565,0.118993135,14,12,0,1,0,0,0,0,1,1,1,0,0,5
850,서울특별시 광진구 광장동 광장힐스테이트 80,137500,13.6,66.5,80,371671,0,0,0,1,0,0,1,0,0,2012,90.6,76,5,453,18.875,5.960526316,1.48785872,1,0.395143488,24,12,1,1,0,0,0,0,1,1,0,0,1,9
854,서울특별시 광진구 광장동 금호베스트빌 60,62750,1.2,78.1,60,371671,4,0,0,1,0,0,1,0,0,2001,60.5,28,4,242,26.88888889,8.642857143,1.033057851,0.92,0.272727273,9,4,1,1,0,0,0,0,1,0,0,0,0,4
855,서울특별시 광진구 광장동 금호베스트빌 80,76500,7.2,72.4,80,371671,4,1,0,1,0,0,1,0,0,2001,60.5,28,4,242,26.88888889,8.642857143,1.033057851,0.92,0.272727273,9,4,1,1,0,0,0,0,1,0,0,0,0,4
856,서울특별시 광진구 광장동 삼성광장2 60,66000, - ,56.8,60,371671,3,0,0,1,0,0,1,0,0,1987,120,45,3,360,20,8,0.411111111,0,0.044444444,18,12,1,1,0,0,0,1,0,0,0,0,0,4
857,서울특별시 광진구 광장동 신동아파밀리에 80,84573, - ,74.5,80,371671,11,1,0,1,0,0,1,0,0,2007,37.75,35,8,302,25.16666667,8.628571429,1.168874172,1,0.337748344,12,12,1,1,0,0,0,0,1,0,0,0,0,4
858,서울특별시 광진구 광장동 워커힐 160,153333,12.3,44,160,371671,3,0,0,1,0,0,1,0,0,1978,41.14285714,166,14,576,8,3.469879518,1.286458333,0,0.022569444,72,12,0,0,1,0,0,0,1,0,0,0,0,4
859,서울특별시 광진구 광장동 워커힐 200,187667, - ,40,200,371671,3,3,0,1,0,0,1,0,0,1978,41.14285714,166,14,576,8,3.469879518,1.286458333,0,0.022569444,72,12,0,0,1,0,0,0,1,0,0,0,0,4
860,서울특별시 광진구 광장동 워커힐 230,188000, - ,30.6,230,371671,3,0,0,1,0,0,1,0,0,1978,41.14285714,166,14,576,8,3.469879518,1.286458333,0,0.022569444,72,12,0,0,1,0,0,0,1,0,0,0,0,4
862,서울특별시 광진구 광장동 청구 60,59995,7.9,67.9,60,371671,10,0,0,1,0,0,1,0,0,1996,163.5,57,4,654,31.14285714,11.47368421,0.73088685,0.759414226,0.142201835,21,19,1,1,0,0,0,1,0,0,1,0,0,3
863,서울특별시 광진구 광장동 청구 80,79125,8.8,73.1,80,371671,4,2,0,1,0,0,1,0,0,1996,163.5,57,4,654,31.14285714,11.47368421,0.73088685,0.759414226,0.142201835,21,19,1,1,0,0,0,1,0,0,1,0,0,3
864,서울특별시 광진구 광장동 현대3 60,68550,14,56.3,60,371671,6,0,0,1,0,0,1,0,0,1990,105.6,110,10,1056,25.14285714,9.6,0.484848485,0.345703125,0.105113636,42,4,1,1,0,0,0,1,0,1,0,0,0,5
865,서울특별시 광진구 광장동 현대3 70,82500,10.9,60.6,70,371671,2,0,0,1,0,0,1,0,0,1990,105.6,110,10,1056,25.14285714,9.6,0.484848485,0.345703125,0.105113636,42,4,1,1,0,0,0,1,0,1,0,0,0,5
866,서울특별시 광진구 광장동 현대3 80,92583,16.3,61.3,80,371671,6,1,0,1,0,0,1,0,0,1990,105.6,110,10,1056,25.14285714,9.6,0.484848485,0.345703125,0.105113636,42,4,1,1,0,0,0,1,0,1,0,0,0,5
867,서울특별시 광진구 광장동 현대5 60,73050, - ,57.3,60,371671,4,0,0,1,0,0,1,0,0,1989,96.83333333,84,6,581,17.08823529,6.916666667,0.638554217,0.380053908,0.111876076,34,4,1,1,0,0,0,1,0,1,1,0,0,4
868,서울특별시 광진구 광장동 현대5 80,101225,11.1,59.7,80,371671,8,1,0,1,0,0,1,0,0,1989,96.83333333,84,6,581,17.08823529,6.916666667,0.638554217,0.380053908,0.111876076,34,4,1,1,0,0,0,1,0,1,1,0,0,4
871,서울특별시 광진구 광장동 현대파크빌 60,75514,9,67.3,60,371671,7,0,0,1,0,0,1,0,0,2000,90,132,13,1170,30,8.863636364,1.032478632,0.925496689,0.102564103,39,12,0,1,0,0,0,0,1,1,1,0,0,8
872,서울특별시 광진구 광장동 현대파크빌 80,99592,11.1,69.9,80,371671,12,0,0,1,0,0,1,0,0,2000,90,132,13,1170,30,8.863636364,1.032478632,0.925496689,0.102564103,39,12,0,1,0,0,0,0,1,1,1,0,0,8
873,서울특별시 광진구 구의동 강변에스케이뷰 80,94500, - ,67.7,80,371671,0,0,0,1,0,0,0,1,0,2017,98.5,25,2,197,21.88888889,7.88,1.187817259,1,0.30964467,9,12,1,1,0,0,0,0,1,0,0,0,1,3
874,서울특별시 광진구 구의동 구의강변우성아파트 80,77813,10,63.5,80,371671,4,0,0,1,0,0,1,0,0,1992,118,43,3,354,23.6,8.23255814,0.663841808,0.408510638,0.093220339,15,12,1,1,0,0,0,0,1,0,1,0,0,4
875,서울특별시 광진구 구의동 구의현대2단지 80,88213,5.9,57,80,371671,15,0,0,1,0,0,1,0,0,1996,107.0666667,187,15,1606,27.22033898,8.588235294,0.866127024,0.697340043,0.137608966,59,12,1,1,0,0,0,1,0,0,0,0,0,6
877,서울특별시 광진구 구의동 구의현대7단지현대홈타운 60,51700, - ,79.3,60,371671,1,0,0,1,0,0,1,0,0,1997,91,27,3,273,30.33333333,10.11111111,1.003663004,0.901459854,0.252747253,9,18,1,1,0,0,0,1,0,0,0,0,1,6
878,서울특별시 광진구 구의동 래미안파크스위트 60,93000, - ,52.7,60,371671,0,2,0,1,0,0,1,0,0,2018,71.16666667,90,12,854,28.46666667,9.488888889,1.323185012,1,0.334894614,30,,1,1,0,0,0,0,1,1,1,1,1,7
880,서울특별시 광진구 구의동 삼성쉐르빌 80,65350, - ,82.6,80,371671,2,0,0,1,0,0,1,0,0,2001,252,38,1,252,18,6.631578947,1.73015873,1,0.226190476,14,12,1,1,0,0,1,0,0,1,0,0,0,0
882,서울특별시 광진구 구의동 아차산포레안 80,65500,10.4,79.4,80,371671,2,1,0,1,0,0,1,0,0,2010,41.66666667,3,3,125,0,41.66666667,0,0,0,0,,1,1,0,0,0,0,1,0,0,0,0,0
883,서울특별시 광진구 구의동 현대프라임 130,121875,5.6,58.3,130,371671,4,0,0,1,0,0,1,0,0,1997,106.1333333,164,15,1592,24.12121212,9.707317073,1.224246231,0.824525398,0.126884422,66,12,1,0,1,0,0,1,0,1,0,0,0,6
884,서울특별시 광진구 구의동 현대프라임 180,119125,3.5,66.5,180,371671,4,0,0,1,0,0,1,0,0,1997,106.1333333,164,15,1592,24.12121212,9.707317073,1.224246231,0.824525398,0.126884422,66,12,1,0,1,0,0,1,0,1,0,0,0,6
885,서울특별시 광진구 구의동 현대프라임 60,64767,5.2,63.8,60,371671,12,6,0,1,0,0,1,0,0,1997,106.1333333,164,15,1592,24.12121212,9.707317073,1.224246231,0.824525398,0.126884422,66,12,1,0,1,0,0,1,0,1,0,0,0,6
886,서울특별시 광진구 구의동 현대프라임 80,89750,9.7,62.6,80,371671,2,0,0,1,0,0,1,0,0,1997,106.1333333,164,15,1592,24.12121212,9.707317073,1.224246231,0.824525398,0.126884422,66,12,1,0,1,0,0,1,0,1,0,0,0,6
887,서울특별시 광진구 군자동 광진We’vePark 130,77500, - ,76.6,130,371671,2,3,0,0,1,0,1,0,0,2008,45,3,2,90,0,30,0,0,0,0,,1,0,0,0,1,0,0,1,0,0,0,0
888,서울특별시 광진구 군자동 일성파크 60,42000, - ,75,60,371671,1,6,0,1,0,0,1,0,0,1996,178.5,36,2,357,25.5,9.916666667,1.014005602,0.580110497,0.112044818,14,12,1,1,0,0,1,0,0,0,0,0,0,5
889,서울특별시 광진구 군자동 일성파크 80,52588,0.5,75.1,80,371671,4,2,0,1,0,0,1,0,0,1996,178.5,36,2,357,25.5,9.916666667,1.014005602,0.580110497,0.112044818,14,12,1,1,0,0,1,0,0,0,0,0,0,5
